Country,ProblemType
Argentina,Armed Battle/Clash
Argentina,Spontaneous Demonstration
Bolivia,Spontaneous Violent Riot
Brazil,Spontaneous Demonstration
Chile,Communal Terrorism
Colombia,Spontaneous Violent Riot
Costa Rica,Organized Demonstration
Cuba,Organized Violent Riot
Dominican Republic,Organized Violent Riot
Ecuador,Spontaneous Violent Riot
Ecuador,Spontaneous Demonstration
Ecuador,Pro-Government Terrorism (Repression)
El Salvador,Spontaneous Violent Riot
Guatemala,Pro-Government Demonstration
Guatemala,Organized Violent Riot
Guatemala,General Warfare
Haiti,Pro-Government Demonstration
Haiti,Spontaneous Demonstration
Haiti,Organized Violent Riot
Haiti,General Warfare
Honduras,General Warfare
Mexico,Pro-Government Terrorism (Repression)
Panama,Spontaneous Violent Riot
Paraguay,Spontaneous Violent Riot
Peru,Organized Violent Riot
Uruguay,Organized Demonstration
Venezuela,Anti-Government Terrorism
